Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,1μF,
"C12, C13",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0F,
"C2, C3",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100nF,
C22,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,1000nF,
C23,CP_Radial_Tantal_D5.0mm_P2.50mm,1,1000µF,
"C24, C25",CP_Radial_Tantal_D5.0mm_P2.50mm,2,100µF,
C4,CP_Radial_Tantal_D5.0mm_P2.50mm,1,1μF,
C8,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100 nF,
D1,PMEG3005AESFYL,1,PESD5V0C1BSFYL,
D4,D_DO-41_SOD81_P7.62mm_Horizontal,1,LED,
FB1,0805,1,280Ω,
IC1,NEOF10N00B,1,NEO-F10N-00B,
IC2,SOP65P640X120-14N,1,TXB0104PWR,
IC3,ESP32S3WROOM1N4R8,1,ESP32-S3-WROOM-1-N4R8,
IC6,SOT65P210X110-6N,1,4259-63,
IC8,QFN50P300X300X80-17N,1,MAX98357AETE+T,
J1,DS101340SSIB1B0,1,DS1013-40SSIB1-B-0,
J4,U.FL_Molex_MCRF_73412-0110_Vertical,1,FXP612 (u.FL) 2,
"J5, J7",U.FL_Molex_MCRF_73412-0110_Vertical,2,FXP612 (u.FL) 1,
J6,GCT_SIM8055-6-1-14-00-A,1,SIM8055-6-1-14-00-A,
Q3,SOT95P237X112-3N,1,Si2323DDS-T1-GE3,
Q5,SOT95P240X120-3N,1,BSS138,
"R16, R26",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100kΩ,
"R17, R19, R28, R29, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10kΩ,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330Ω,
"R20, R21",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,0Ω,
"S1, S4",18259106,2,1825910-6,
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,USB_DP,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,BOOT_CFG,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,USB_DM,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,USB_VBUS,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MDM_LOG_TX,
TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,TestPoint,
U2,SIM7000G,1,SIM7000G,
